"season","genotype","max_height_cm","min_height_cm","max_growth_cm_gdd","r2","method","method_type"
"season_4","PI144134",321.126570470296,5.348922553886,0.383094419623211,0.994132271446242,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI145619",325.124281094713,6.59760659524363,0.324709443656437,0.994889478590496,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI145626",315.939322317252,7.4118668183441,0.323226958398133,0.993195483673923,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI145633",341.237497626627,7.06173761841803,0.340160368184643,0.993627427466093,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI146890",331.866686870233,9.20575043542972,0.338197608293693,0.990261940955617,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI152591",326.683434644134,7.23515747206048,0.318576891142845,0.985057905984874,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI152651",300.325692572991,9.25501867829671,0.259981335827494,0.962895324869142,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI152694",324.091216161454,8.7669700048961,0.338150836451293,0.98469289906502,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI152727",302.140840045436,10.6360443623467,0.230494835744203,0.984777298245668,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI152733",361.24373507698,10.9051830434554,0.348555398845175,0.985973861813325,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI152771",338.876172239061,17.9220206568715,0.237393684114623,0.977864758378106,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI152828",281.880092011905,14.2302157693454,0.218506253385359,0.982537447228921,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI152860",367.253035821079,11.8193068516738,0.322158244600766,0.992928547924953,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI152862",301.954036125789,5.40535533444572,0.342379338910377,0.990748857335553,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI152923",298.960325143735,8.32261820673148,0.268681048214857,0.983740505785679,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI152961",311.313525909655,9.97408298234259,0.290778717135793,0.969919353571591,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI152965",333.358379738105,9.25179548619854,0.256375210292271,0.967601126281606,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI152966",337.249893052562,8.19406154290361,0.352260451299608,0.991490620759155,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI152971",309.518931045043,5.32377034825546,0.365207660040756,0.995161863914801,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI154846",351.953953876536,10.4814596784819,0.317131351274274,0.990098548051845,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI154944",366.082607389293,13.7136190091524,0.305566898187638,0.984743921332852,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI154987",305.506143951772,8.10731528452607,0.30592496910925,0.987220736919277,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI154988",337.998207594805,14.6541622921449,0.249474179174468,0.984197128104698,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI155516",345.720243597255,9.62890522271869,0.292481587376561,0.984824139668534,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI155760",338.706324731809,6.29469665644842,0.367189943725396,0.990901738981309,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI155885",318.603203272337,15.124902317782,0.223821712242072,0.983507650249425,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI156217",325.350881386346,10.339459507737,0.256570565304793,0.992936562688468,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI156330",321.028101444127,8.17037722802787,0.261469791492457,0.98940044101159,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI156463",317.930176413137,14.9527885929033,0.262470741330675,0.982177590316845,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI156487",342.081964787841,14.8728705376149,0.249752464201892,0.977852921733862,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI156890",279.763269111122,8.53911699519482,0.268078662785431,0.987411482714569,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI157030",330.18695779402,9.39770246864481,0.279226478031991,0.984613089230819,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI157035",358.395989115571,11.1766938709336,0.313735022011413,0.991558365438926,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI157804",343.008913150764,11.5132975928991,0.344756104576538,0.968197266743283,"Bayesian logistic model of canopy height vs. gdd","RE"
