cultivar,season_4,season_6,ksu,genomic_data
PI552851,0,0,0,1
PI561072,0,0,0,1
PI561840,1,1,1,0
PI562717,0,0,0,1
PI562730,1,1,1,0
PI562732,1,1,0,1
PI562781,1,1,0,1
PI562897,1,1,1,1
PI562970,1,1,1,1
PI562971,1,1,1,1
PI562981,1,1,1,1
PI562982,1,1,1,1
PI562985,1,1,1,1
PI562990,1,1,0,1
PI562991,1,1,1,1
PI562994,1,1,1,1
PI562997,1,1,1,1
PI562998,1,1,0,1
PI563002,1,1,1,1
PI563006,1,1,0,0
PI563009,1,1,1,1
PI563020,1,1,0,1
PI563021,1,1,1,1
PI563022,1,1,1,1
PI563032,1,1,1,1
PI563196,1,1,0,1
PI563222,1,1,1,0
PI563295,1,1,0,0
PI563329,1,1,1,1
PI563330,1,1,0,0
PI563331,1,1,0,0
PI563332,1,1,1,1
PI563338,1,1,1,1
PI563348,0,0,1,1
PI563350,1,1,1,1
PI563353,0,0,1,0
PI563355,1,1,0,1
PI564163,1,1,1,1
PI566819,1,1,1,1
PI568717,1,0,1,1
PI569090,1,1,1,0
PI569097,1,1,1,1
PI569148,1,1,1,1
PI569244,1,1,1,1
PI569264,1,1,1,1
PI569416,1,0,1,1
PI569418,1,1,1,1
PI569419,1,1,1,1
PI569420,1,1,0,1
PI569421,1,1,1,0
PI569422,1,1,0,1
PI569423,1,1,0,1
PI569425,1,0,0,1
PI569427,1,1,0,1
PI569433,0,0,1,1
PI569435,1,0,1,1
PI569443,1,1,1,1
PI569444,1,1,0,0
PI569445,1,1,1,1
PI569446,0,0,0,1
PI569447,1,1,1,1
PI569452,1,1,1,0
PI569453,1,1,1,1
PI569454,1,0,1,1
PI569455,1,1,0,1
PI569457,1,1,1,1
PI569458,1,1,0,1
PI569459,1,0,1,1
PI569460,1,1,1,1
PI569462,1,1,0,0
PI569465,1,1,1,1
PI569886,1,1,1,1
PI570031,1,1,1,1
PI570038,1,1,1,1
PI570039,0,0,0,1
PI570042,1,1,1,1
PI570047,1,0,0,0
PI570053,0,0,1,1
PI570071,1,1,1,1
PI570073,1,1,1,1
PI570074,1,1,1,1
PI570075,1,1,1,1
PI570076,1,1,0,1
PI570085,1,1,1,1
PI570087,1,1,1,1
PI570090,1,1,1,1
PI570091,1,1,1,1
PI570096,1,1,1,1
PI570106,1,1,0,1
PI570109,1,1,0,0
PI570110,1,1,1,1
PI570114,1,1,1,1
PI570145,1,1,1,1
PI570254,1,1,1,0
PI570371,0,0,0,1
PI570373,1,1,1,1
PI570388,1,1,1,1
PI570393,1,0,1,1
PI570400,1,1,0,1
PI570431,1,1,1,1
PI573193,1,1,0,1
PI576366,0,0,0,1
PI576399,1,1,1,1
PI576401,1,1,1,1
PI583832,1,1,1,1
PI585406,1,1,0,1
PI585448,0,0,0,1
PI585452,1,1,1,1
PI585454,1,1,1,1
PI585461,1,1,0,1
PI585467,1,1,1,1
PI585577,1,1,1,1
PI585608,1,1,0,1
PI585954,1,1,0,0
PI585961,1,1,1,1
PI585966,1,1,0,1
PI586435,1,1,1,1
PI586443,1,0,1,0
PI586499,0,0,0,1
PI586537,0,0,1,0
PI586541,1,1,1,1
PI593916,1,1,1,1
PI595699,0,0,0,1
PI595741,0,0,0,1
PI606706,0,0,0,1
PI619807,1,1,0,1
PI619838,1,1,1,1
PI620072,1,1,1,1
PI620157,1,1,0,1
PI629059,0,0,0,1
PI63715,1,1,1,1
PI641807,1,1,1,0
PI641810,1,1,1,1
PI641815,1,1,1,1
PI641817,1,1,1,1
PI641821,1,1,1,1
PI641824,1,1,1,1
PI641825,1,1,1,0
PI641829,1,1,1,1
PI641830,1,1,1,1
PI641834,0,0,0,1
PI641835,1,1,1,1
PI641836,1,1,1,0
PI641850,1,1,1,1
PI641860,1,1,1,1
PI641862,1,1,1,1
PI641892,1,1,1,1
PI641909,1,1,1,1
PI642998,1,1,1,0
PI643008,1,1,0,1
PI643016,1,1,1,1
PI646242,1,1,1,1
PI646251,1,1,0,1
PI646266,1,1,0,1
PI651491,1,1,1,1
PI651493,0,0,1,1
PI651495,1,1,1,1
PI651496,1,1,1,0
PI651497,1,1,1,1
PI653411,0,0,0,1
PI653616,1,1,1,1
PI653617,1,1,1,1
PI655972,1,1,1,0
PI655978,1,1,1,1
PI655981,1,0,1,1
PI655983,1,1,1,0
PI655986,0,0,0,1
PI655988,0,0,0,1
PI655995,0,0,0,1
PI655996,0,0,0,1
PI656015,1,1,1,1
PI656020,0,0,0,1
PI656023,0,0,0,1
PI656026,1,1,1,1
PI656030,0,0,0,1
PI656035,1,1,1,1
PI656044,0,0,0,1
PI656051,0,0,0,1
PI656056,0,0,0,1
PI656065,1,1,1,1
PI673843,0,0,0,1
PI92270,1,1,1,1
RTx430,0,0,1,0
Richardson,0,0,1,0
SC1103,0,0,1,0
SC1345,0,0,1,0
SC265,0,0,1,0
SC283,0,0,1,0
SC35,0,0,1,0
SC971,0,0,1,0
SP1516,0,1,0,0
SP1615,1,0,0,0
Segeolane,0,0,1,0
Unknown off type,1,0,0,0
rio,0,0,0,1
