date	sitename	cultivar	canopy_height	day_of_year	temp_min	temp_max	temp_mean	gdd	rh_min	rh_max	rh_mean	vpd_mean	precip	precip_cumulative	first_water_deficit_treatment	second_water_deficit_treatment
36	2016-10-21	Ashland Bottoms KSU 2016 Season Range 13 Pass 21	PI641860	324	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
37	2016-10-21	Ashland Bottoms KSU 2016 Season Range 8 Pass 8	PI641860	319	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
38	2016-10-21	Ashland Bottoms KSU 2016 Season Range 35 Pass 22	PI646242	331	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
39	2016-10-21	Ashland Bottoms KSU 2016 Season Range 21 Pass 4	PI643016	426	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
40	2016-10-21	Ashland Bottoms KSU 2016 Season Range 13 Pass 11	PI653617	327	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
41	2016-10-21	Ashland Bottoms KSU 2016 Season Range 12 Pass 17	PI653617	316	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
42	2016-10-21	Ashland Bottoms KSU 2016 Season Range 12 Pass 5	PI653616	318	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
43	2016-10-21	Ashland Bottoms KSU 2016 Season Range 12 Pass 3	PI651495	374	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
44	2016-10-21	Ashland Bottoms KSU 2016 Season Range 9 Pass 17	PI651495	374	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
45	2016-10-21	Ashland Bottoms KSU 2016 Season Range 6 Pass 12	PI655978	131	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
46	2016-10-21	Ashland Bottoms KSU 2016 Season Range 14 Pass 15	PI656035	330	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
47	2016-10-21	Ashland Bottoms KSU 2016 Season Range 8 Pass 3	PI656015	245	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
48	2016-10-21	Ashland Bottoms KSU 2016 Season Range 14 Pass 17	PI92270	342	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
49	2016-10-21	Ashland Bottoms KSU 2016 Season Range 9 Pass 5	PI92270	312	295	1.5	20.1	10.8	1740	35.1	98.3	67.4	0.57	0	527.55	False	False
50	2016-08-16	Ashland Bottoms KSU 2016 Season Range 35 Pass 4	PI585961	168	229	17.4	32.8	25.1	1029	49	95.7	71.4	1.13	0	236.23	False	False
51	2016-08-16	Ashland Bottoms KSU 2016 Season Range 27 Pass 21	PI329570	204	229	17.4	32.8	25.1	1029	49	95.7	71.4	1.13	0	236.23	False	False
52	2016-08-16	Ashland Bottoms KSU 2016 Season Range 30 Pass 3	PI329480	167	229	17.4	32.8	25.1	1029	49	95.7	71.4	1.13	0	236.23	False	False
53	2016-08-16	Ashland Bottoms KSU 2016 Season Range 31 Pass 5	PI329465	243	229	17.4	32.8	25.1	1029	49	95.7	71.4	1.13	0	236.23	False	False
